variant,gamma,fill_mode,quote_decisions,quoted_bid,quoted_ask,maker_fills,buy_fills,sell_fills,trade_price_fills,best_quote_fills,bid_cancels,ask_cancels,expired_orders,market_orders,market_order_lots,policy_market_orders,policy_market_order_lots,terminal_flatten_orders,terminal_flatten_lots,gross_pnl_hkd,all_in_fees_hkd,net_pnl_hkd,maker_turnover_hkd,market_turnover_hkd,feeable_turnover_hkd,exposure_duration_seconds,absolute_inventory_lot_seconds,squared_inventory_lot2_seconds,realized_inventory_penalty_hkd,test_days,maker_fills_per_day,mean_daily_net_pnl_hkd,daily_net_pnl_std_hkd,profitable_days,active_days,maker_fill_rate,quoted_side_share,max_abs_inventory_lots,time_mean_abs_inventory_lots,time_rms_inventory_lots,nonzero_inventory_time_share,day_close_max_drawdown_hkd,worst_intraday_drawdown_hkd,mean_full_horizon_impulse_state_share
gamma_0.390625,0.390625,through,99087,5012,4801,4768,2375,2393,4427,341,2637,2408,5045,40,40,40,40,0,0,-16838.17914581299,13789.460548219558,-30627.639694032547,49509467.024269104,271978.9981842041,49781446.02245331,444309.145,42403.166,49671.138,19402.78828125,19,250.94736842105263,-1611.9810365280287,4403.024608004775,5,19,0.4858860694996433,0.04951709104120621,2,0.09543617653874757,0.33435623708419626,0.08725721816956974,30664.885508484047,15729.596670895979,0.8302005012531329
gamma_0.390625,0.390625,touch,99087,9968,9586,13767,6882,6885,10884,2883,3086,2701,5787,11,11,11,11,0,0,4483.724540710449,29741.738192623463,-25258.013651913014,107271749.0027008,99146.99954986572,107370896.00225067,444309.145,61134.893,68676.637,26826.811328125,19,724.578947368421,-1329.3691395743692,2649.1511196837596,0,19,0.7040503221847192,0.0986708649974265,2,0.1375953965566025,0.39315326257470373,0.1291083508983368,25258.013651913014,9575.871562568698,0.8114035087719298
gamma_0.195312,0.1953125,through,99087,8311,8023,7941,3970,3971,7196,745,4341,4052,8393,3,3,3,3,0,0,-20964.234031677246,19572.60948927968,-40536.84352095692,70638005.03365326,21234.99984741211,70659240.03350067,444309.145,63387.08,70778.368,13823.9,19,417.94736842105266,-2133.5180800503645,4269.011224415138,1,19,0.48616383004775315,0.08242251758555613,2,0.14266436041959027,0.3991238186946317,0.1343466293046928,40571.79567937881,15870.889522393629,0.7386521860206073
gamma_0.195312,0.1953125,touch,99087,20875,20312,29125,14560,14565,21998,7127,6315,5747,12062,9,9,8,8,1,1,4334.557762145996,50167.21986067554,-45832.662098529545,181049952.9704666,59143.99948120117,181109096.96994781,444309.145,105610.75899999999,120597.379,23554.1755859375,19,1532.8947368421052,-2412.2453736068182,2559.1435120202195,0,19,0.7071406026173307,0.20783251082382148,2,0.23769656823066287,0.5209863064356408,0.2208314865992686,45832.66209852955,9609.220945198856,0.7231968810916181
gamma_0.1,0.1,through,99087,10368,9973,9664,4832,4832,8575,1089,5536,5141,10677,4,4,1,1,3,3,-24364.241500854492,20935.7691471719,-45300.01064802639,75549162.03352356,31231.999588012695,75580394.03311157,444309.145,82331.217,105224.51299999999,10522.4513,19,508.63157894736844,-2384.211086738231,4316.427766204586,0,19,0.47509955262769776,0.10264212257914762,3,0.18530164847270925,0.48664900091295205,0.16768954192918986,45300.01064802638,16126.074667484876,0.588902812587023
gamma_0.1,0.1,touch,99087,23620,23053,33083,16541,16542,24936,8147,7079,6511,13590,1,1,0,0,1,1,3815.511932373047,58622.581978440045,-54807.070046067,211623019.9582672,10850.0,211633869.9582672,444309.145,122453.953,147969.513,14796.9513,19,1741.2105263157894,-2884.582634003526,2723.365792206064,0,19,0.7088252308615259,0.23551525427149878,3,0.2756052950474382,0.5770899300282366,0.24695044483047945,54807.07004606699,10614.338560360775,0.5632135895293788
gamma_0.0976562,0.09765625,through,99087,10373,9983,9670,4835,4835,8581,1089,5538,5148,10686,4,4,1,1,3,3,-24482.242294311523,20945.885741205715,-45428.128035517235,75585684.03364563,31231.999588012695,75616916.03323364,444309.145,86061.20700000001,109008.719,10645.38271484375,19,508.94736842105266,-2390.9541071324866,4313.663911868009,0,19,0.4750442130084496,0.10271781363851969,3,0.1936966816201814,0.4953224266917363,0.17602356350329004,45428.12803551723,16126.074667484876,0.5799220272904483
gamma_0.0976562,0.09765625,touch,99087,23628,23060,33091,16545,16546,24939,8152,7083,6514,13597,1,1,0,0,1,1,3805.512466430664,58636.09570056262,-54830.583234131955,211671805.95870972,10850.0,211682655.95870972,444309.145,122490.057,148032.045,14456.25439453125,19,1741.6315789473683,-2885.8201702174715,2723.593848689256,0,19,0.7087688485263879,0.23559094533087085,3,0.27568655378452767,0.5772118564136969,0.24700196301383803,54830.58323413195,10614.338560360775,0.5586187691450848
gamma_0.05,0.05,through,99087,21785,21038,20063,10032,10031,16746,3317,11753,11007,22760,5,5,0,0,5,5,-42746.37853240967,34643.996107177125,-77390.3746395868,125026215.00414276,42363.00010681152,125068578.00424957,444309.145,170215.136,217250.538,10862.5269,19,1055.9473684210527,-4073.1776126098302,3937.1258793138536,0,19,0.46850991289727484,0.2160878823660016,3,0.3831006809459211,0.6992585804384742,0.33850042406847153,77390.37463958678,16045.143098704819,0.3696741854636591
gamma_0.05,0.05,touch,99087,23425,23010,32786,16392,16394,24825,7961,7033,6616,13649,2,2,0,0,2,2,4104.4985275268555,58126.08191262303,-54021.58338509617,209821000.94809723,20450.0,209841450.94809723,444309.145,170879.461,211548.143,10577.407150000001,19,1725.578947368421,-2843.241230794535,2609.284478908265,0,19,0.7060622375363411,0.2343142894627953,4,0.3845958673661781,0.6900204826687174,0.33921144702074496,54021.58338509617,10066.869205793053,0.34099136730715673
