date,fill_mode,direction_accuracy,direction_macro_f1,drift_slope_ticks,directional_net_pnl_hkd,directional_gross_pnl_hkd,directional_maker_fills,directional_trade_price_fills,directional_best_quote_fills,directional_best_ask_fills,directional_best_bid_fills,directional_trade_price_fill_share,directional_best_quote_fill_share,directional_bid_cancels,directional_ask_cancels,directional_expired_orders,classic_as_net_pnl_hkd,classic_as_gross_pnl_hkd,classic_as_maker_fills,classic_as_trade_price_fills,classic_as_best_quote_fills,classic_as_best_ask_fills,classic_as_best_bid_fills,classic_as_trade_price_fill_share,classic_as_best_quote_fill_share,classic_as_bid_cancels,classic_as_ask_cancels,classic_as_expired_orders,gp_style_discrete_net_pnl_hkd,gp_style_discrete_gross_pnl_hkd,gp_style_discrete_maker_fills,gp_style_discrete_trade_price_fills,gp_style_discrete_best_quote_fills,gp_style_discrete_best_ask_fills,gp_style_discrete_best_bid_fills,gp_style_discrete_trade_price_fill_share,gp_style_discrete_best_quote_fill_share,gp_style_discrete_bid_cancels,gp_style_discrete_ask_cancels,gp_style_discrete_expired_orders,paired_no_signal_net_pnl_hkd,paired_no_signal_gross_pnl_hkd,paired_no_signal_maker_fills,paired_no_signal_trade_price_fills,paired_no_signal_best_quote_fills,paired_no_signal_best_ask_fills,paired_no_signal_best_bid_fills,paired_no_signal_trade_price_fill_share,paired_no_signal_best_quote_fill_share,paired_no_signal_bid_cancels,paired_no_signal_ask_cancels,paired_no_signal_expired_orders
2026-07-20,through,0.6009842254280706,0.5678477184395955,0.19936135185789156,-6806.034668835698,-1974.0006866455078,3313,3100,213,94,119,0.9357078176878961,0.06429218231210383,3516,2412,5928,-3030.861034472621,10.000091552734375,2087,2008,79,38,41,0.9621466219453761,0.03785337805462386,3555,3936,7491,-6362.631362472615,-2461.9999084472656,2679,2565,114,48,66,0.9574468085106383,0.0425531914893617,2701,3595,6296,-8347.08430094524,-4311.999816894531,2770,2653,117,48,69,0.9577617328519855,0.04223826714801444,2968,3678,6646
2026-07-20,touch,0.6009842254280706,0.5678477184395955,0.19936135185789156,-3516.6222688357075,2965.999313354492,4447,4054,393,159,234,0.9116258151562852,0.08837418484371487,2952,1915,4867,-1016.9415879999997,3460.0,3074,2950,124,55,69,0.9596616785946649,0.04033832140533507,3124,3457,6581,-3317.0047147342693,2351.999725341797,3892,3707,185,85,100,0.9524665981500514,0.047533401849948614,2193,3017,5210,-3858.524776734276,1981.9997253417969,4010,3826,184,84,100,0.9541147132169576,0.04588528678304239,2369,3095,5464
2026-07-21,through,0.5854639762160795,0.5912157420999722,0.19831353505526964,-3930.32446410143,-1288.0004119873047,1677,1627,50,27,23,0.9701848539057841,0.02981514609421586,3115,1324,4439,-1866.3976724726258,-55.999908447265625,1149,1123,26,16,10,0.9773716275021758,0.022628372497824196,3112,2932,6044,-3287.6614113671503,-658.0001373291016,1669,1638,31,19,12,0.981426003594967,0.018573996405032954,2652,2755,5407,-3287.6614113671503,-658.0001373291016,1669,1638,31,19,12,0.981426003594967,0.018573996405032954,2652,2755,5407
2026-07-21,touch,0.5854639762160795,0.5912157420999722,0.19831353505526964,-2328.826114101428,1781.9995880126953,2609,2496,113,61,52,0.9566883863549253,0.04331161364507474,2640,962,3602,-1026.9082721014279,1951.9995880126953,1889,1848,41,23,18,0.9782953943885654,0.02170460561143462,2609,2565,5174,-2166.482552101429,2075.9995880126953,2691,2635,56,32,24,0.9791898922333705,0.020810107766629504,2151,2152,4303,-2166.482552101429,2075.9995880126953,2691,2635,56,32,24,0.9791898922333705,0.020810107766629504,2151,2152,4303
2026-07-22,through,0.5890524111453668,0.5924602926769512,0.19216774639002662,100.798734739687,3835.9996948242188,2234,2102,132,71,61,0.9409131602506714,0.05908683974932856,3184,2060,5244,-1786.906936630161,599.9998474121094,1434,1374,60,28,32,0.9581589958158996,0.04184100418410042,3082,3046,6128,-3723.6077446301733,-468.00015258790154,1952,1862,90,52,38,0.9538934426229508,0.04610655737704918,2614,3008,5622,-2536.7567372603235,835.9996948242151,2020,1929,91,52,39,0.9549504950495049,0.04504950495049505,2883,3092,5975
2026-07-22,touch,0.5890524111453668,0.5924602926769512,0.19216774639002662,1855.1866504246173,7479.999618530273,3363,3143,220,128,92,0.9345822182575082,0.06541778174249183,2620,1651,4271,32.06071936984108,3759.9998474121167,2238,2114,124,66,58,0.9445933869526363,0.05540661304736372,2404,2819,5223,-2079.362824315079,2947.999923706051,3011,2850,161,85,76,0.9465293922284955,0.05347060777150448,1981,2525,4506,-1717.8324749452404,3485.999771118157,3115,2953,162,83,79,0.9479935794542537,0.05200642054574639,2127,2620,4747
2026-07-23,through,0.5884790767613296,0.5896157758882162,0.1764798384569225,-4610.995008739683,-1573.9996948242188,1844,1732,112,57,55,0.9392624728850325,0.06073752711496746,3171,1676,4847,-4341.614305800187,-2246.0001678466797,1273,1222,51,24,27,0.959937156323645,0.04006284367635507,2972,3049,6021,-5893.990335600372,-3160.0003356933594,1660,1589,71,36,35,0.9572289156626506,0.0427710843373494,2645,2906,5551,-6380.526847200743,-3532.0006713867188,1728,1653,75,39,36,0.9565972222222222,0.043402777777777776,2814,3016,5830
2026-07-23,touch,0.5884790767613296,0.5896157758882162,0.1764798384569225,-3096.214225369842,1706.0001525878906,2920,2712,208,105,103,0.9287671232876712,0.07123287671232877,2632,1324,3956,-3529.7700378001805,-14.000167846679688,2137,2044,93,48,45,0.956481048198409,0.043518951801591016,2477,2639,5116,-4279.087011600376,199.99966430664062,2722,2595,127,70,57,0.9533431300514328,0.04665686994856723,2123,2363,4486,-4323.570003200751,391.99932861328125,2864,2730,134,71,63,0.9532122905027933,0.0467877094972067,2302,2449,4751
2026-07-24,through,0.5970554716281042,0.5994820669863942,0.1688719456463507,-1815.5078644246073,338.00038146972656,1455,1379,76,41,35,0.947766323024055,0.05223367697594502,3049,1357,4406,-1575.0174993698404,108.00015258789062,1140,1088,52,26,26,0.9543859649122807,0.0456140350877193,3180,3102,6282,-2866.005441369843,-817.9998474121094,1388,1323,65,30,35,0.9531700288184438,0.0468299711815562,2744,2641,5385,-3139.8789587396845,-1035.9996948242188,1424,1359,65,30,35,0.9543539325842697,0.04564606741573034,2925,2721,5646
2026-07-24,touch,0.5970554716281042,0.5994820669863942,0.1688719456463507,-907.0630964246043,2554.0003814697266,2343,2182,161,90,71,0.931284677763551,0.068715322236449,2605,1040,3645,-1486.7092196849212,1352.0000762939453,1925,1845,80,40,40,0.9584415584415584,0.04155844155844156,2763,2677,5440,-2105.153043054766,1336.000228881836,2333,2240,93,42,51,0.9601371624517788,0.039862837548221175,2186,2160,4346,-2332.681954424609,1220.0003814697266,2407,2310,97,44,53,0.9597008724553386,0.0402991275446614,2375,2224,4599
2026-07-27,through,0.593052783096373,0.5727145298785099,0.08750100167885944,-6351.927911263017,-4244.000015258789,1487,1384,103,47,56,0.9307330195023538,0.06926698049764626,2940,1407,4347,-3360.8767662728133,-1282.0000762939453,1467,1388,79,42,37,0.9461486025903204,0.05385139740967962,2949,2950,5899,-3452.5600228184394,-1226.000228881836,1567,1494,73,35,38,0.9534141671984684,0.04658583280153159,2533,2613,5146,-3578.115863364062,-1278.0003814697266,1617,1544,73,34,39,0.9548546691403834,0.04514533085961658,2695,2701,5396
2026-07-27,touch,0.593052783096373,0.5727145298785099,0.08750100167885944,-4783.558773052057,-1376.0000610351562,2396,2222,174,89,85,0.9273789649415692,0.07262103505843072,2487,1141,3628,-2119.9047742728017,1185.9999237060547,2327,2195,132,73,59,0.9432746024924796,0.05672539750752041,2519,2520,5039,-2796.879110818428,833.9997711181641,2553,2406,147,82,65,0.9424206815511164,0.057579318448883664,2009,2030,4039,-2680.2758893640485,1099.9996185302734,2657,2507,150,85,65,0.9435453519006398,0.05645464809936018,2149,2129,4278
2026-07-28,through,0.5893573643915241,0.5893383770091689,0.12480112952426463,-541.1995529452365,1327.999771118164,1671,1637,34,12,22,0.9796529024536206,0.020347097546379412,3759,3166,6925,-250.8770733671331,1431.9998626709075,1505,1472,33,12,21,0.9780730897009967,0.021926910299003323,3665,2712,6377,-398.26460894523643,1499.999771118164,1697,1660,37,13,24,0.9781968179139658,0.021803182086034177,3690,3149,6839,-398.26460894523643,1499.999771118164,1697,1660,37,13,24,0.9781968179139658,0.021803182086034177,3690,3149,6839
2026-07-28,touch,0.5893573643915241,0.5893383770091689,0.12480112952426463,671.7417550547648,3963.999771118164,2953,2885,68,34,34,0.9769725702675246,0.02302742973247545,3101,2670,5771,640.8911404219084,3607.9999084472674,2664,2604,60,29,31,0.9774774774774775,0.02252252252252252,2954,2383,5337,298.0608588438149,3569.999816894535,2936,2871,65,34,31,0.9778610354223434,0.022138964577656677,2986,2681,5667,298.0608588438149,3569.999816894535,2936,2871,65,34,31,0.9778610354223434,0.022138964577656677,2986,2681,5667
2026-07-29,through,0.6280276062477298,0.5425097420283594,0.12790639727837566,-2999.453540421917,-151.99990844726608,3345,3238,107,54,53,0.9680119581464873,0.03198804185351271,5212,2587,7799,-3563.8342919999927,-1031.9999999999964,2974,2897,77,40,37,0.9741089441829186,0.02589105581708137,4935,4148,9083,-4779.097936421912,-2007.999908447273,3255,3169,86,45,41,0.9735791090629801,0.02642089093701997,5115,4657,9772,-4779.097936421912,-2007.999908447273,3255,3169,86,45,41,0.9735791090629801,0.02642089093701997,5115,4657,9772
2026-07-29,touch,0.6280276062477298,0.5425097420283594,0.12790639727837566,2917.786787156192,7328.000183105469,5180,4987,193,97,96,0.9627413127413127,0.03725868725868726,4295,1937,6232,359.8279021268204,4405.9995880127,4747,4636,111,53,58,0.9766168106172319,0.023383189382768062,3847,3319,7166,125.91579354470377,4543.999313354496,5185,5053,132,69,63,0.9745419479267117,0.025458052073288332,3969,3640,7609,125.91579354470377,4543.999313354496,5185,5053,132,69,63,0.9745419479267117,0.025458052073288332,3969,3640,7609
2026-07-30,through,0.6131792718256122,0.5219600326532459,0.07843280552864305,-3057.945048315085,-1076.0000762939453,2451,2392,59,24,35,0.9759281925744594,0.024071807425540596,4762,3700,8462,-3066.7353969817477,-1413.9999389648365,2038,1989,49,16,33,0.9759568204121688,0.02404317958783121,4307,3910,8217,-3655.408290981751,-1883.9999389648383,2188,2136,52,17,35,0.9762340036563071,0.02376599634369287,4162,4266,8428,-3300.3687879635063,-1469.9998779296875,2258,2207,51,16,35,0.9774136403897254,0.022586359610274578,4538,4395,8933
2026-07-30,touch,0.6131792718256122,0.5219600326532459,0.07843280552864305,1576.1370913698374,4931.999847412117,4166,4020,146,73,73,0.9649543927028325,0.03504560729716755,3908,2989,6897,105.21148600000606,3018.0000000000073,3614,3534,80,33,47,0.977863862755949,0.02213613724405091,3543,3330,6873,-151.2211199999956,2912.0000000000036,3800,3710,90,42,48,0.9763157894736842,0.02368421052631579,3401,3561,6962,13.250985018245046,3188.0000610351526,3936,3850,86,37,49,0.978150406504065,0.02184959349593496,3638,3667,7305
